name,GW,total_points
Allan_Saint-Maximin_500,32,15
Allan_Saint-Maximin_500,33,2
Allan_Saint-Maximin_500,35,2
Allan_Saint-Maximin_500,36,2
Allan_Saint-Maximin_500,37,3
Allan_Saint-Maximin_500,38,1
Andre_Gray_364,1,2
Andre_Gray_364,2,1
Andre_Gray_364,3,8
Andre_Gray_364,4,2
Andre_Gray_364,5,1
Andre_Gray_364,6,1
Andre_Gray_364,7,1
Andre_Gray_364,8,1
Andre_Gray_364,10,1
Andre_Gray_364,11,2
Andre_Gray_364,12,5
Andre_Gray_364,13,0
Andre_Gray_364,14,1
Andre_Gray_364,15,1
Andre_Gray_364,16,1
Andre_Gray_364,17,1
Andre_Gray_364,19,1
Andre_Gray_364,22,4
Andre_Gray_364,24,1
Andre_Gray_364,29,1
Andre_Gray_364,31,1
Andre_Gray_364,35,1
Andre_Gray_364,36,1
Andreas_Christensen_108,1,0
Andreas_Christensen_108,2,2
Andreas_Christensen_108,3,1
Andreas_Christensen_108,5,0
Andreas_Christensen_108,6,0
Andreas_Christensen_108,7,5
Andreas_Christensen_108,15,2
Andreas_Christensen_108,16,1
Andreas_Christensen_108,22,6
Andreas_Christensen_108,23,2
Andreas_Christensen_108,24,0
Andreas_Christensen_108,25,1
Andreas_Christensen_108,26,1
Andreas_Christensen_108,27,1
Andreas_Christensen_108,28,0
Andreas_Christensen_108,30,2
Andreas_Christensen_108,31,2
Andreas_Christensen_108,32,1
Andreas_Christensen_108,33,6
Andreas_Christensen_108,34,1
Andreas_Christensen_108,35,0
Andreas_Pereira_246,1,6
Andreas_Pereira_246,2,1
Andreas_Pereira_246,4,2
Andreas_Pereira_246,5,3
Andreas_Pereira_246,6,2
Andreas_Pereira_246,7,1
Andreas_Pereira_246,8,2
Andreas_Pereira_246,9,2
Andreas_Pereira_246,10,3
Andreas_Pereira_246,11,2
Andreas_Pereira_246,12,8
Andreas_Pereira_246,13,2
Andreas_Pereira_246,14,2
Andreas_Pereira_246,15,1
Andreas_Pereira_246,16,0
Andreas_Pereira_246,19,4
Andreas_Pereira_246,20,6
Andreas_Pereira_246,21,1
Andreas_Pereira_246,22,3
Andreas_Pereira_246,23,2
Andreas_Pereira_246,24,1
Andreas_Pereira_246,25,3
Andreas_Pereira_246,26,1
Andreas_Pereira_246,31,1
Andreas_Pereira_246,32,1
Andrew_Robertson_181,1,2
Andrew_Robertson_181,2,2
Andrew_Robertson_181,3,2
Andrew_Robertson_181,4,6
Andrew_Robertson_181,5,5
Andrew_Robertson_181,6,8
Andrew_Robertson_181,7,6
Andrew_Robertson_181,8,2
Andrew_Robertson_181,9,8
Andrew_Robertson_181,10,2
Andrew_Robertson_181,11,9
Andrew_Robertson_181,12,5
Andrew_Robertson_181,13,6
Andrew_Robertson_181,14,2
Andrew_Robertson_181,15,1
Andrew_Robertson_181,16,6
Andrew_Robertson_181,17,1
Andrew_Robertson_181,19,7
Andrew_Robertson_181,20,6
Andrew_Robertson_181,21,12
Andrew_Robertson_181,22,6
Andrew_Robertson_181,23,6
Andrew_Robertson_181,24,1
Andrew_Robertson_181,24,6
Andrew_Robertson_181,25,6
Andrew_Robertson_181,26,9
Andrew_Robertson_181,27,4
Andrew_Robertson_181,28,1
Andrew_Robertson_181,31,9
Andrew_Robertson_181,32,0
Andrew_Robertson_181,33,5
Andrew_Robertson_181,34,5
Andrew_Robertson_181,35,9
Andrew_Robertson_181,36,6
Andrew_Robertson_181,37,5
Andrew_Robertson_181,38,5
Andrew_Surman_80,2,1
Andrew_Surman_80,4,1
Andrew_Surman_80,6,1
Andrew_Surman_80,26,1
Andrew_Surman_80,27,2
Andriy_Yarmolenko_392,2,1
Andriy_Yarmolenko_392,3,1
Andriy_Yarmolenko_392,4,8
Andriy_Yarmolenko_392,5,3
Andriy_Yarmolenko_392,6,11
Andriy_Yarmolenko_392,7,9
Andriy_Yarmolenko_392,8,1
Andriy_Yarmolenko_392,9,1
Andriy_Yarmolenko_392,10,8
Andriy_Yarmolenko_392,11,1
Andriy_Yarmolenko_392,12,2
Andriy_Yarmolenko_392,13,1
Andriy_Yarmolenko_392,14,0
Andriy_Yarmolenko_392,15,1
Andriy_Yarmolenko_392,17,1
Andriy_Yarmolenko_392,30,1
Andriy_Yarmolenko_392,32,6
Andriy_Yarmolenko_392,33,1
Andriy_Yarmolenko_392,34,2
Andriy_Yarmolenko_392,35,1
Andriy_Yarmolenko_392,36,1
Andriy_Yarmolenko_392,37,1
Andriy_Yarmolenko_392,38,8
Andros_Townsend_135,1,3
Andros_Townsend_135,2,2
Andros_Townsend_135,3,1
Andros_Townsend_135,4,1
Andros_Townsend_135,5,2
Andros_Townsend_135,7,6
Andros_Townsend_135,8,1
Andros_Townsend_135,9,1
Andros_Townsend_135,10,2
Andros_Townsend_135,12,2
Andros_Townsend_135,13,5
Andros_Townsend_135,14,3
Andros_Townsend_135,15,1
Andros_Townsend_135,16,3
Andros_Townsend_135,25,1
Andros_Townsend_135,30,1
Andros_Townsend_135,31,2
Andros_Townsend_135,32,2
Andros_Townsend_135,33,1
Andros_Townsend_135,34,1
Andros_Townsend_135,35,1
Andros_Townsend_135,36,2
Andros_Townsend_135,37,2
Andros_Townsend_135,38,2
André Filipe_Tavares Gomes_422,1,1
André Filipe_Tavares Gomes_422,2,2
André Filipe_Tavares Gomes_422,3,1
