name,GW,points,form
Alireza_Jahanbakhsh_476,4,1,0.6666666666666666
Alireza_Jahanbakhsh_476,5,1,0.75
Alireza_Jahanbakhsh_476,6,1,0.75
Alireza_Jahanbakhsh_476,7,1,1.0
Alireza_Jahanbakhsh_476,8,2,1.0
Alireza_Jahanbakhsh_476,9,2,1.25
Alireza_Jahanbakhsh_476,10,3,1.5
Alireza_Jahanbakhsh_476,11,2,2.0
Alireza_Jahanbakhsh_476,26,1,0.0
Alireza_Jahanbakhsh_476,29,3,0.25
Alireza_Jahanbakhsh_476,30,2,1.0
Alireza_Jahanbakhsh_476,32,2,1.25
Alireza_Jahanbakhsh_476,32,2,1.75
Alireza_Jahanbakhsh_476,34,2,1.5
Alireza_Jahanbakhsh_476,35,3,1.5
Alireza_Jahanbakhsh_476,37,1,1.25
Alireza_Jahanbakhsh_476,38,2,1.5
Alisson_Ramses Becker_468,1,7,0.0
Alisson_Ramses Becker_468,2,6,7.0
Alisson_Ramses Becker_468,3,6,6.5
Alisson_Ramses Becker_468,4,3,6.333333333333333
Alisson_Ramses Becker_468,5,2,5.5
Alisson_Ramses Becker_468,6,6,4.25
Alisson_Ramses Becker_468,7,3,4.25
Alisson_Ramses Becker_468,8,6,3.5
Alisson_Ramses Becker_468,9,6,4.25
Alisson_Ramses Becker_468,10,2,5.25
Alisson_Ramses Becker_468,11,3,4.25
Alisson_Ramses Becker_468,12,7,4.25
Alisson_Ramses Becker_468,13,6,4.5
Alisson_Ramses Becker_468,14,9,4.5
Alisson_Ramses Becker_468,15,3,6.25
Alisson_Ramses Becker_468,16,6,6.25
Alisson_Ramses Becker_468,17,2,6.0
Alisson_Ramses Becker_468,18,9,5.0
Alisson_Ramses Becker_468,19,6,5.0
Alisson_Ramses Becker_468,20,2,5.75
Alisson_Ramses Becker_468,21,1,4.75
Alisson_Ramses Becker_468,22,6,4.5
Alisson_Ramses Becker_468,23,1,3.75
Alisson_Ramses Becker_468,24,2,2.5
Alisson_Ramses Becker_468,25,2,2.5
Alisson_Ramses Becker_468,26,6,2.75
Alisson_Ramses Becker_468,27,10,2.75
Alisson_Ramses Becker_468,28,7,5.0
Alisson_Ramses Becker_468,29,8,6.25
Alisson_Ramses Becker_468,30,0,7.75
Alisson_Ramses Becker_468,31,2,6.25
Alisson_Ramses Becker_468,32,2,4.25
Alisson_Ramses Becker_468,33,2,3.0
Alisson_Ramses Becker_468,34,7,1.5
Alisson_Ramses Becker_468,35,6,3.25
Alisson_Ramses Becker_468,36,6,4.25
Alisson_Ramses Becker_468,37,2,5.25
Alisson_Ramses Becker_468,38,6,5.25
Ander_Herrera_299,3,0,0.0
